section,metric,value
meta,cases_count,2001
meta,laws_count,452
meta,patterns_count,618
meta,sample_size,200
meta,top_k,5
meta,sampling,stratified
retrieval_scan,best_threshold,0.6
retrieval_scan,best_hit_at_k,1
retrieval,threshold,0.45
retrieval,hit_at_k,1
retrieval,precision_at_k,0.405
retrieval,mrr_at_k,0.9975
retrieval,ndcg_at_k,0.9703
dynamic,fact_coverage,1
dynamic,law_coverage,1
dynamic,example_coverage,1
dynamic,avg_case_count,12
static,fact_coverage,1
static,law_coverage,0.995
static,example_coverage,1
static,avg_case_count,10.31
hybrid,fact_coverage,1
hybrid,law_coverage,1
hybrid,example_coverage,1
hybrid,avg_case_count,16.97
